f1m1, 401, 619, 4541, 2998, 449, 614, 74, 88, blue
f1m2, 401, 619, 4541, 2998, 449, 614, 81, 79, red
f1m3, 401, 619, 4541, 2998, 449, 614, 101, 82, blue
qf1m1, 1885, 836, 4242, 5587, 4456, 2537, 81, 69, red
qf1m2, 1885, 836, 4242, 5587, 4456, 2537, 0, 78, red
qf1m3, 1885, 836, 4242, 5587, 4456, 2537, 65, 81, blue
qf2m1, 977, 1418, 2199, 401, 619, 4541, 87, 87, blue
qf2m2, 977, 1418, 2199, 401, 619, 4541, 81, 91, red
qf2m3, 977, 1418, 2199, 401, 619, 4541, 79, 99, red
qf3m1, 1610, 1629, 4472, 2998, 449, 614, 63, 67, red
qf3m2, 1610, 1629, 4472, 2998, 449, 614, 80, 92, red
qf4m1, 1262, 2534, 4638, 346, 6802, 384, 56, 83, red
qf4m2, 1262, 2534, 4638, 346, 6802, 384, 90, 85, red
qf4m3, 1262, 2534, 4638, 346, 6802, 384, 83, 89, blue
qm1, 6334, 1719, 5546, 4456, 1610, 1413, 78, 75, red
qm10, 1719, 2534, 2849, 1262, 3359, 612, 68, 70, blue
qm100, 2998, 346, 2363, 422, 4456, 384, 86, 75, blue
qm101, 612, 5338, 1599, 614, 4099, 449, 72, 83, blue
qm102, 3359, 539, 1413, 2537, 1731, 540, 74, 66, blue
qm103, 977, 2914, 5830, 1111, 1629, 6802, 53, 71, blue
qm104, 3939, 3274, 1727, 2912, 4541, 2534, 36, 67, blue
qm105, 836, 7770, 686, 2849, 1086, 5587, 71, 63, red
qm106, 1610, 4472, 1262, 6882, 4242, 2199, 70, 44, blue
qm107, 619, 4456, 2068, 4099, 401, 3359, 81, 72, blue
qm108, 2537, 1413, 2106, 5338, 422, 5830, 70, 53, blue
qm109, 1111, 4541, 1599, 2534, 4638, 1629, 36, 76, blue
qm11, 1599, 539, 4638, 4541, 5338, 4456, 42, 65, blue
qm110, 3274, 1731, 614, 1086, 7770, 6802, 61, 64, 
qm111, 2849, 1262, 2912, 977, 5587, 1885, 66, 83, blue
qm112, 1727, 346, 540, 888, 4242, 6543, 93, 56, red
qm113, 686, 449, 6334, 836, 339, 2363, 71, 95, red
qm114, 2199, 612, 5546, 1123, 619, 539, 71, 84, red
qm115, 1610, 3939, 6882, 2914, 384, 1418, 56, 64, blue
qm116, 401, 1719, 3793, 2998, 4472, 3748, 68, 53, blue
qm12, 540, 6334, 3793, 977, 836, 619, 82, 94, red
qm13, 1418, 686, 422, 5830, 401, 1123, 70, 54, blue
qm14, 5587, 6882, 339, 346, 3274, 1111, 52, 51, blue
qm15, 2849, 2199, 1885, 384, 1413, 4099, 90, 67, red
qm16, 4242, 2998, 1086, 2912, 2914, 5546, 59, 65, red
qm17, 1731, 6543, 1629, 3939, 2106, 888, 67, 55, blue
qm18, 2363, 2537, 6802, 4472, 7770, 612, 75, 56, blue
qm19, 614, 1727, 2534, 3748, 1610, 449, 94, 95, 
qm2, 539, 2068, 422, 1599, 1086, 977, 53, 63, red
qm20, 6334, 6882, 1262, 2068, 686, 3793, 74, 51, blue
qm21, 2199, 977, 1418, 3359, 1719, 1086, 111, 69, blue
qm22, 1413, 2998, 540, 339, 1629, 3939, 81, 85, blue
qm23, 539, 346, 7770, 2912, 401, 4472, 73, 78, red
qm24, 4638, 5587, 422, 1885, 4242, 3748, 56, 81, blue
qm25, 2106, 5830, 1610, 612, 2849, 4456, 72, 72, blue
qm26, 384, 619, 1111, 1731, 2068, 1727, 79, 67, red
qm27, 1599, 6543, 836, 2363, 3274, 2914, 57, 49, red
